Textos_espanol,sdg
"Al final de la educación primaria, las escuelas deben informar sobre la medida en que sus alumnos han alcanzado los objetivos de aprendizaje básicos esperados. Si bien las escuelas tienen la libertad de utilizar diferentes instrumentos para este propósito, el 85% de las escuelas utilizan la prueba de fin de primaria de Cito, que brinda información sobre el tipo de escuela más adecuado para cada estudiante en la siguiente etapa de la educación. Las nuevas leyes que se implementarán a partir del año escolar 2014/15 obligan a las escuelas primarias a administrar sistemas regulares de monitoreo de estudiantes, así como una prueba final al final del año 8.",4
"Con el telón de fondo de una prolongada falta de fuentes oficiales de información fiable sobre la producción, el tráfico y el uso indebido de drogas ilícitas entre los países de la región, ha habido varios informes de los medios de comunicación y anecdóticos sobre el uso indebido generalizado de comprimidos falsificados de Captagon (que contienen anfetamina) entre todas las partes implicadas en la violencia armada en la República Árabe Siria. Es significativo que, por primera vez en seis años, el Estudio sobre el Opio en Afganistán 2015, del que se dispone del resumen ejecutivo, señala que se ha producido una disminución de la superficie total estimada de cultivo ilícito de adormidera en Afganistán, que en 2015 ascendió a 183.000 hectáreas (ha). Esto representa una disminución en comparación con 2014, cuando el cultivo alcanzó niveles récord, con 224.000 hectáreas.",3
"Al mismo tiempo, la información oficial sobre las pruebas nacionales repite claramente el mensaje de que las pruebas nacionales solo miden un área discreta del conocimiento y las habilidades de los estudiantes, brindando una instantánea del rendimiento de los estudiantes en objetivos de aprendizaje seleccionados, y que se necesitan evaluaciones complementarias para medir completamente proceso estudiantil. La investigación de diferentes países indica que, si bien la evaluación tiene como objetivo principal medir el progreso y los resultados del aprendizaje, también tiene efectos en el proceso de aprendizaje en sí (Somerset, 1996). Varios autores han descrito esta influencia de la evaluación en la enseñanza y el aprendizaje como el “efecto de retroceso” de la evaluación de los estudiantes (Alderson y Wall, 1993, Baartman et al.,",4
"La falta de pruebas sólidas de la medición de la seguridad de los pacientes en los entornos de atención primaria y ambulatoria puede explicarse en parte por la naturaleza fragmentada de este entorno descrita en la introducción. De hecho, las respuestas a la encuesta sugieren que el carÃ¡cter fragmentado de los ""sistemas"" de atenciÃ³n primaria y ambulatoria y la falta de gobernanza general del sistema son el principal obstÃ¡culo para la aplicaciÃ³n de medidas e intervenciones de seguridad (vÃ©ase el capÃtulo 4). Esto significa que la informaciÃ³n rara vez puede vincularse. Estos obstÃ¡culos tÃ©cnicos pueden impedir captar con precisiÃ³n la imagen completa de la frecuencia y magnitud de los daÃ±os sufridos por los pacientes a lo largo de su recorrido.",3
"Los estudios que utilizan la clase ocupacional o el nivel educativo en lugar de la renta como indicador socioeconÃ³mico encuentran resultados cualitativamente similares, aunque las diferencias en la esperanza de vida son significativamente menores (Palosuo et al., El proyecto TEROKA pretende desarrollar una base de conocimientos y herramientas para promover la consecuciÃ³n del objetivo del programa de salud pÃºblica Salud 2015 de reducir las desigualdades en salud. An analysis of the recent hospital reform in Norwayâ€, en: Andresen y Gronlie (eds.), â€œ",3
"Al no tratarse de planes de clase detallados, los recursos exigen (y presuponen) una gran autonomía y capacidad de acción por parte del profesorado. Están dirigidos a profesores expertos que pueden diseñar su entorno de aprendizaje y sus clases. Sin embargo, como se ha comprobado sobre el terreno, los recursos pedagógicos no son suficientes para la mayoría de los profesores y deben complementarse con otros recursos de aprendizaje. ",4
"Mientras que la eficacia mide el efecto de un agente terapéutico en condiciones y entornos controlados, la efectividad mide el efecto de un tratamiento en condiciones menos controladas en entornos sanitarios del ""mundo real"". Medir la eficacia es mucho más fácil en pacientes con una sola enfermedad. Por ello, es muy habitual que las personas con múltiples enfermedades crónicas queden excluidas de los ensayos clínicos aleatorizados.",3
"Algunos de los beneficios del reconocimiento de habilidades recaen en los empleadores solo colectivamente (por ejemplo, un sector económico), ya que un sector tiene interés en tener un grupo de trabajadores calificados y calificados y el riesgo de caza furtiva asociado con habilidades más visibles es menos problemático para un sector que para un empleador individual. Incluyen tanto las habilidades relativamente simples involucradas en tareas físicas o servicios digitales (ingreso de datos o soporte administrativo) hasta habilidades de nivel superior en actividades como programación o consultoría empresarial (OCDE 2016b). En estos contextos, muchas de las herramientas ""tradicionales"" de capacitación y reconocimiento de habilidades no se aplicarán: no hay un empleador que recompense a un empleado que aprende rápido con salarios por hora más altos o testifique que el trabajador ha adquirido un conjunto específico de habilidades.",4
"Aún queda mucho por hacer para reducir los tiempos de espera en las consultas externas de los hospitales de otras zonas, y el Gobierno se ha comprometido a construir un nuevo bloque de consultas externas para aumentar la capacidad de atender la demanda. También se está llevando a cabo un ejercicio para mejorar la eficiencia interna en la gestión de los servicios ambulatorios con vistas a reducir los tiempos de espera. Otros factores que ponen a prueba la capacidad del sistema sanitario son el aumento de la inmigración de trabajadores y pensionistas, los turistas que utilizan el sistema sanitario y los cambios en los comportamientos de riesgo de la población.",3
"Algunos ejemplos son el Informe nacional sobre el estado y el desarrollo de la educación, los resultados del estudio de seguimiento de la evaluación del desempeño de los estudiantes de quinto y noveno grado, el análisis de los resultados de la evaluación externa del rendimiento de los estudiantes de noveno grado y el análisis de los resultados de la prueba nacional unificada de 2012. No existen esquemas formales para que los líderes escolares participen en el apoyo a sus pares en otras escuelas (por ejemplo, intercambiando mejores prácticas, asesorando a nuevos líderes, apoyando a aquellos en escuelas aisladas o de bajo rendimiento) y el concepto de líder del sistema que no solo puede liderar a su la escuela, sino que también contribuyen a la mejora de todo el sistema es bastante incipiente. Existen pocos mecanismos para compartir recursos entre las escuelas con el fin de hacer un uso más eficiente de su infraestructura física, equipos y materiales didácticos, o de sus recursos humanos.",4
"Algunos municipios también han introducido políticas de área de código postal y “aplicación central” para inscribir a los estudiantes en una determinada escuela sobre la base de las necesidades y características de la escuela en lugar de dar a las familias la posibilidad de elegir la escuela completa (Ministerie van Onderwijs, Cultuur en Wctcnschap, 2008(9oi En otras dos ciudades holandesas, Nijmegen y Deventer, el gobierno local impuso la integración como criterio en el proceso de elección de escuela, con el objetivo de tener un 70% de estudiantes nativos junto con un 30% de estudiantes inmigrantes (Ladd, Fiske and Ruijs, 2009[ 7oj). Más concretamente, todas las escuelas primarias de Nijmegen han acordado un sistema de suscripción central basado en la distribución de los alumnos en diferentes categorías para llegar a un porcentaje del 30 % de alumnos desfavorecidos en cada escuela.",4
"Algunos países, incluidos Austria, Bélgica, Canadá, Chile, Italia, Japón, los Países Bajos y España, también brindan incentivos fiscales explícitos para la capacitación, además de la deducibilidad estándar de los costos de capacitación y de los salarios pagados a los aprendices y aprendices. Las lecciones de evaluaciones recientes muestran que la efectividad de los incentivos fiscales depende de su diseño. Por ejemplo, un diseño muy complejo puede reducir las tasas de aceptación, generar reclamos de alivio laxo por debajo del nivel óptimo o conducir a altas tasas de incumplimiento.",3
"Así, donde la vivienda está altamente segregada, las escuelas también tienden a estar segregadas. Las escuelas que se perciben como de mejor calidad a menudo están ubicadas en áreas donde los precios de las propiedades y los alquileres son más altos. Por lo tanto, la educación de buena calidad a menudo tiene un precio implícito en el mercado de la vivienda y es posible que los estudiantes inmigrantes de entornos socioeconómicos bajos no tengan acceso a ella (Field et al.,",4
"El Ministerio planea ahora implicarse más a través del proyecto ""Implantación de Guías de Práctica Clínica en la asistencia cubierta por el seguro médico público"", financiado por la UE y puesto en marcha a finales de 2013. El sistema de auditoría interna de la calidad y el sistema de supervisión de la seguridad de los pacientes son obligatorios por ley, pero siguen sin aplicarse. No está claro hasta qué punto estas auditorías se traducen en procesos reales de mejora de la atención al paciente.",3
"Aunque existen algunas variaciones en las definiciones detalladas que se utilizan, las siguientes descripciones ofrecen una indicación útil de cómo los términos 'formal', 'no formal' e 'informal' se aplican comúnmente a la educación y el aprendizaje. El aprendizaje no formal tiene muchas manifestaciones, pero los ejemplos incluirían clases de alfabetización para adultos en las aldeas y la formación de entrenadores en un club deportivo. El sitio web iSpot Nature ofrece un ejemplo en línea de aprendizaje colaborativo y autodirigido donde los usuarios aprenden a identificar y apreciar la flora y la fauna compartiendo información en una comunidad en línea (Recuadro 1.1).",4
"El sistema inglés de atención a la salud mental, que opera predominantemente bajo el Servicio Nacional de Salud, pero también bajo Salud Pública de Inglaterra y junto a las Autoridades Locales gubernamentales, se compone de atención primaria y especializada (""atención secundaria"" y ""atención terciaria""), y atención social. Es probable que la atenciÃ³n integral de la salud mental incluya tambiÃ©n cierta intervenciÃ³n de los servicios de atenciÃ³n social, tanto de los servicios financiados y gestionados por Public Health England como de los servicios sociales locales gestionados por las Autoridades Locales. Los servicios de atenciÃ³n de salud mental financiados por el gobierno y gestionados por el estado se complementan a veces con servicios voluntarios y con servicios privados pagados por el NHS, especialmente para la atenciÃ³n de seguridad media y baja (vÃ©anse la secciÃ³n 3.2 y la secciÃ³n 4.3.ii).",3
"Aunque la financiación pública ha sufrido algunas reducciones debido a la crisis económica, el gasto por alumno sigue estando por encima de la media de la OCDE. Las altas tasas de abandono escolar y desempleo juvenil requieren esfuerzos para consolidar las habilidades básicas y adaptarse mejor a las necesidades del mercado laboral, centrándose en la calidad de la educación y la provisión de educación y formación profesional. Al mismo tiempo, la calidad de los docentes y el liderazgo escolar se puede mejorar a través de una formación inicial y continua más específica.",4
"Los requisitos actuales del Plan, introducidos en 2013, incluyen objetivos regionales especÃficos, y tambiÃ©n se definen varios objetivos a travÃ©s de la lista de tarifas. â€˜ Health Japan 21"" establece un objetivo de prevenciÃ³n de enfermedades asociadas a los hÃ¡bitos de la vida adulta. El cumplimiento de las directrices es voluntario y no estÃ¡ claro el impacto de su evoluciÃ³n en la calidad. Esto se debe a la falta de indicadores completos y procesables que apoyen la mejora de la calidad. ",3
"Basado en datos armonizados de rendimiento de estudiantes de 15 años recopilados a nivel individual, el análisis empírico muestra que, mientras que los países nórdicos de Europa exhiben niveles relativamente bajos de desigualdad, Europa continental se caracteriza por altos niveles de desigualdad, en particular de segregación escolar según el nivel socioeconómico. -líneas económicas- mientras que los países anglosajones ocupan una posición algo intermedia. A pesar de la dificultad de identificar adecuadamente la relación causal, el análisis de regresión entre países proporciona información sobre el potencial de las políticas para explicar las diferencias observadas en la equidad en la educación. Las políticas que permiten una mayor mezcla social están asociadas con una menor segregación socioeconómica escolar sin afectar el desempeño general.",4
"En la actualidad hay pocos indicadores que midan la calidad de la coordinación asistencial. Sin una investigación biomédica adecuada sobre la mejor manera de tratar a una persona con múltiples afecciones crónicas, será difícil crear parámetros de calidad basados en pruebas. Como ya se ha señalado, es difícil elaborar directrices prácticas o parámetros de calidad para las personas con múltiples enfermedades crónicas. ",3
"Cabe preguntarse, sin embargo, si los alumnos con más talento del país asisten a estos centros, ya que los estudiantes desfavorecidos tienen un acceso más limitado a las clases extraescolares para prepararse para la admisión. Además, la proporción de alumnos con mejores resultados en las evaluaciones internacionales sigue siendo muy pequeña, mientras que un gran número se queda rezagado con respecto a sus compañeros de otros países. Los sistemas educativos que mejoran más rápidamente en PISA muestran que las mejoras en la parte superior e inferior de la escala de rendimiento pueden ir de la mano. ",4
"Chalmers School of Entrepreneurship (CSE), www.entrepreneur.chalmers.se, es a la vez una plataforma educativa, donde se pueden adquirir habilidades empresariales y una preincubadora para desarrollar ideas comerciales en etapas iniciales y para iniciar una empresa (la mayoría de los estudiantes iniciar una empresa legal durante el año del proyecto). El núcleo de esto es una red que reúne a personas, universidades y empresas innovadoras interesadas en desarrollar y comercializar ideas de alta tecnología en etapas tempranas con alto potencial de mercado. Hoy en día, CSE practica un proceso de “Encubación”, es decir, ofrece una educación de nivel de Maestría combinada con la incubación de empresas a través de una organización incubadora, Encubator, que opera en simbiosis con la educación pero es propiedad de Chalmersinvest. Al participar como proveedor de ideas, los investigadores universitarios y otros inventores tienen la oportunidad de probar su invento en un proyecto de innovación de un año en CSE.",4
"Cinco de estos se ofrecen en universidades regionales bajo el Consejo de Educación Superior: Ort Braude, Tel Hai, Sakhnin, Western Galilee y Sefad Colleges. Persisten las brechas socioeconómicas entre los grupos de población y las disparidades entre Galilea y el centro de Israel. Israel necesita una estrategia política continua y concertada”. La política debe garantizar que la infraestructura educativa que se ofrece a todos los niños árabes y judíos, incluidas cuestiones como el tamaño de las clases, las instalaciones educativas en todos los niveles, los estándares básicos en inglés, matemáticas y ciencias, sea de un nivel similar.",4
"Como concluye el informe de PISA, Estudiantes, computadoras y aprendizaje: Haciendo la conexión (OCDE, 2015): en general, las escuelas y los sistemas educativos no han sido efectivos para aprovechar el potencial de la tecnología. En los países de la OCDE, hay 0,77 computadoras por estudiante en la escuela, el 96% de las cuales están conectadas a Internet (Tabla 11.6.4). Existen grandes diferencias en la proporción de computadoras por estudiante entre los sistemas educativos.",4
"Como él lo expresó, esta es una pregunta que parece olvidarse en la búsqueda de comparar y medir, y de justificar lo que hacen los educadores. Agregó: “Donde podemos esperar perder el rumbo es cuando nos alejamos de la comprensión de esos valores fundamentales y lo que se supone que deben lograr en la educación y la capacitación a un proceso que burocratiza el endeudamiento”. Mirando a través de sus 23 universidades y más de 20,000 escuelas, Sudáfrica se ha vuelto muy buena para dar la impresión de lograr resultados particulares sin haberlos logrado en absoluto.",4
"Arogya World recurrió a una asociación público-privada para financiar y poner en marcha el programa. Entre los socios, además de Nokia y la Universidad de Emory, estaban Johnson & Johnson y Aetna. Al menos 5 millones de personas padecen diabetes en la India. La diabetes mata a 10 lakh de indios cada año. Un nivel alto de azúcar en sangre durante periodos prolongados perjudica al organismo. ",3
"Como grupo históricamente desfavorecido en Nueva Zelanda (Marie, Fergusson y Boden, 2008, 177]), estas pautas especiales ayudan a los nuevos maestros a apoyar a los estudiantes maoríes. Es importante destacar que el programa está integrado en el horario de todos los maestros nuevos. Los equipos ofrecen apoyo a los maestros y la administración que trabajan con niños inmigrantes. Además, a menudo hay un psicólogo calificado para ayudar a los niños que han experimentado traumas o dificultades en sus vidas (Scholten et al., este apoyo varía y puede incluir consejos para maestros, trabajo de casos individuales con estudiantes inmigrantes y talleres para mejorar el clima de clase). Es importante destacar que los MIT interactúan con los padres de los estudiantes inmigrantes para integrarlos en la comunidad escolar (Felder-Puig, Maier y Teutsch, 2016, 183) y, a menudo, sirven como puente lingüístico entre los estudiantes, los padres y la escuela (profesores, administradores, etc) (",4
"Aunque el abuso del alcohol tiene un impacto importante en el patrón de mortalidad de las regiones septentrionales en general, ha tenido un impacto especialmente significativo en los pueblos indígenas, con niveles de consumo de alcohol atípicamente altos entre las mujeres. Por ejemplo, en la región de Berezovo del distrito autónomo de Khanty-Mansi, en 1996-1999, de las 362 muertes entre la población indígena, excluidos los lactantes, un tercio estaban asociadas al alcohol, mientras que la tasa de muertes relacionadas con el alcohol era del 15% en la población no indígena. Las muertes de mujeres relacionadas con el alcohol fueron cinco veces más altas entre los pueblos indígenas que entre los norteños rusos.565 En el distrito autónomo de Chukchi, el alcohol causó el 42% de las muertes de mujeres indígenas, mientras que el alcohol blanco causó el 19% de las muertes de mujeres no indígenas.566 Incluso cuando no acaba en pérdidas humanas, el consumo de alcohol provoca pérdidas económicas que directa o indirectamente disminuyen la calidad de vida. La tasa de mortalidad por causas externas entre los indígenas norteños es más del doble de la media rusa.",3
"Como resultado, los requisitos de admisión se han vuelto más estrictos y ahora existen requisitos específicos en términos de rendimiento en la educación secundaria superior. La entrada es ahora un proceso de dos niveles. A aquellos con las calificaciones más altas se les otorga la admisión directa, pero cualquier otra persona que desee inscribirse debe realizar un examen que incluye una entrevista, los cuales se califican para determinar el ingreso.",4
"La calidad de los servicios de salud mental debe incluir no sólo la calidad de los servicios especializados, sino también la calidad de los servicios de atención primaria y la calidad de los servicios prestados por otros sectores, por ejemplo los servicios de vivienda o empleo. Sin embargo, a menudo no se puede evitar elegir indicadores para la evaluación comparativa de la calidad que reflejen la fuente de datos disponible en lugar de medidas óptimas de la calidad de la atención, lo que ha perpetuado la dependencia de los indicadores orientados a la hospitalización, en lugar de reflejar el cambio en los patrones de prestación de la atención. Es crucial que, una vez acordadas las medidas óptimas de calidad, exista el compromiso de trabajar para recopilar estos datos. La creación de registros y la evaluación periódica de las personas con SMI en la atención primaria pueden ayudar a reducir la carga de la enfermedad física y mejorar la calidad de la atención (Holt et al.,",3
"Los problemas de salud mental leves a moderados constituyen la mayor parte de los casos, y estos problemas van en aumento desde hace varias décadas. Por otra parte, las autoridades suecas reconocen que la enfermedad mental es un asunto nacional primordial. Suecia también ha sido un país precursor en la desinstitucionalización y la puesta en marcha de programas oficiales de prevención del suicidio.",3
"Como sugirió el proyecto de la OCDE sobre liderazgo escolar, las perspectivas de desarrollo profesional, así como las escalas salariales para los líderes escolares que estén separadas de las escalas salariales de los docentes y que reflejen las estructuras de liderazgo y los factores del nivel escolar, pueden ayudar a atraer líderes de alto rendimiento a todas las escuelas (Pont et al., El uso de los resultados de la evaluación para informar el avance profesional puede ayudar a que la evaluación para la rendición de cuentas sea más efectiva y significativa. Sin embargo, es importante tener en cuenta que la investigación sobre los efectos de tales sistemas que vinculan la evaluación con el avance profesional es escasa. Esto requiere indicadores confiables y aspectos y criterios de valoración claros, capacitación de los evaluadores y la debida consideración del contexto en el que se desempeña un líder escolar, dependiendo del contexto del país, esto se refiere a conceptos como director de escuela en Australia, Canadá y Estados Unidos o el director en el Reino Unido e Irlanda.",4
"Si se midieran los beneficios aportados por las tecnologías, se trataría de un análisis coste-eficacia. Repercusiones de los avances de la tecnología médica en Australia. La principal conclusión es que el envejecimiento de la población y el cambio climático plantean importantes riesgos a largo plazo para la economía y la sostenibilidad de las finanzas públicas, sobre todo en el sector sanitario.",3
"Con la implementación de las nuevas leyes sobre evaluación de estudiantes (Capítulo 1), el Colegio para Exámenes también supervisará la calidad de las pruebas de fin de primaria administradas por las escuelas. Las responsabilidades de las escuelas y las juntas escolares incluyen la evaluación formativa y sumativa regular de los estudiantes, las evaluaciones de desempeño de los maestros individuales y la atención de calidad interna de la escuela. Además de los tres actores tradicionales (el Ministerio, la Inspección y las escuelas), una serie de organizaciones intermedias tienen una influencia cada vez mayor en la evaluación y evaluación en el país. Los Consejos de Educación Primaria y Secundaria juegan un papel clave en la recopilación y difusión de datos sobre el desempeño de las escuelas individuales, fortaleciendo así la rendición de cuentas tanto horizontal como vertical.",4
